,st_grp,year,month,month_m,indexP,indexPlower,indexPupper,temp,humidity,precip,threshold_3,threshold_4,threshold_5,human,other,species,abundance,pir,pir_lci,pir_uci,vector_index,month_n,year_f,year_grp,all_cases,indexP_lag1,temp_lag1,vector_index_lag1,vector_index_lag2,eeev_detected
1,CT,2003,May,01/05/2003,0.029,0.012,0.059,13.296,74.86,3.877,0,0,0,,,Culiseta melanura,,,,,,5,2003,other,0,NA,NA,,,0
2,CT,2003,Jun,01/06/2003,0.277,0.124,0.577,19.01,77.097,5.614,0.448,0.038,0,,,Culiseta melanura,,,,,,6,2003,other,0,0.029,13.296,,,0
3,CT,2003,Jul,01/07/2003,0.467,0.219,0.934,22.967,73.01,2.158,1,0.705,0.304,,,Culiseta melanura,,,,,,7,2003,other,0,0.277,19.01,,,0
4,CT,2003,Aug,01/08/2003,0.508,0.23,1.078,23.286,77.46,4.678,0.963,0.733,0.553,,,Culiseta melanura,,,,,,8,2003,other,0,0.467,22.967,,,1
5,CT,2003,Sep,01/09/2003,0.239,0.104,0.533,18.384,80.132,7.169,0.271,0,0,,,Culiseta melanura,,,,,,9,2003,other,0,0.508,23.286,,,1
6,CT,2003,Oct,01/10/2003,0.009,0.004,0.02,10.706,75.625,4.236,0,0,0,,,Culiseta melanura,,,,,,10,2003,other,0,0.239,18.384,,,1
7,CT,2004,May,01/05/2004,0.099,0.044,0.192,15.497,75.961,2.684,0,0,0,,,NA,,,,,,5,2004,other,0,NA,NA,,,NA
8,CT,2004,Jun,01/06/2004,0.221,0.105,0.393,19.298,70.976,1.537,0.075,0,0,,,Culiseta melanura,,,,,,6,2004,other,0,0.099,15.497,,,0
9,CT,2004,Jul,01/07/2004,0.413,0.191,0.831,21.965,77.554,3.427,0.964,0.577,0.109,,,Culiseta melanura,,,,,,7,2004,other,0,0.221,19.298,,,0
10,CT,2004,Aug,01/08/2004,0.452,0.194,1.017,21.635,79.408,4.687,1,0.867,0.169,,,Culiseta melanura,,,,,,8,2004,other,0,0.413,21.965,,,1
11,CT,2004,Sep,01/09/2004,0.257,0.114,0.535,18.644,77.604,7.138,0.4,0.037,0,,,Culiseta melanura,,,,,,9,2004,other,0,0.452,21.635,,,1
12,CT,2004,Oct,01/10/2004,0.013,0.006,0.026,11.506,74.87,1.605,0,0,0,,,Culiseta melanura,,,,,,10,2004,other,0,0.257,18.644,,,0
13,CT,2005,May,01/05/2005,0.034,0.016,0.062,12.27,69.253,1.959,0,0,0,,,NA,,,,,,5,2005,other,0,NA,NA,,,NA
14,CT,2005,Jun,01/06/2005,0.299,0.144,0.556,20.782,76.036,2.062,0.579,0,0,,,Culiseta melanura,,,,,,6,2005,other,0,0.034,12.27,,,0
15,CT,2005,Jul,01/07/2005,0.466,0.231,0.849,22.875,75.061,3.602,1,0.903,0.194,,,Culiseta melanura,,,,,,7,2005,other,0,0.299,20.782,,,0
16,CT,2005,Aug,01/08/2005,0.414,0.21,0.722,23.493,74.746,1.695,0.931,0.589,0.121,,,Culiseta melanura,,,,,,8,2005,other,0,0.466,22.875,,,0
17,CT,2005,Sep,01/09/2005,0.286,0.137,0.54,19.879,71.932,2.521,0.404,0,0,,,Culiseta melanura,,,,,,9,2005,other,0,0.414,23.493,,,0
18,CT,2005,Oct,01/10/2005,0.044,0.019,0.096,12.253,78.175,12.252,0,0,0,,,Culiseta melanura,,,,,,10,2005,other,0,0.286,19.879,,,0
19,CT,2006,May,01/05/2006,0.052,0.023,0.099,14.354,70.539,5.1,0,0,0,,,NA,,,,,,5,2006,other,0,NA,NA,,,NA
