name,fasta_name,state,date,year,new,county,site
14117-19,14117-19_S75_2019|2019-09-23,Connecticut,23/09/2019,2019,TRUE,New_Haven,Bethany
11403-19,11403-19_S64_2019|2019-08-27,Connecticut,27/08/2019,2019,TRUE,Middlesex,Chester
14149-19,14149-19_S76_2019|2019-09-23,Connecticut,23/09/2019,2019,TRUE,Middlesex,Chester
10229-19,10229-19-19_S57_2019|2019-08-19,Connecticut,19/08/2019,2019,TRUE,Middlesex,Chester
14759-19,14759-19_S80_2019|2019-09-30,Connecticut,30/09/2019,2019,TRUE,New_London,East_Lyme
12004-19,12004-19_S68_2019|2019-08-29,Connecticut,29/08/2019,2019,TRUE,New_London,Groton
10529-19,10529-19_S59_2019|2019-08-20,Connecticut,20/08/2019,2019,TRUE,Middlesex,Haddam
10084-19,10084-19_S56_2019|2019-08-15,Connecticut,15/08/2019,2019,TRUE,Windham,Hampton
14661-19,14661-19_S79_2019|2019-09-26,Connecticut,26/09/2019,2019,TRUE,Windham,Hampton
14098-17,14098-17_S47_2017|2017-10-11,Connecticut,11/10/2017,2017,TRUE,Windham,Hampton
14229-17,14229-17_S49_2017|2017-10-25,Connecticut,25/10/2017,2017,TRUE,Windham,Hampton
17667-18,17667-18_S50_2018|2018-09-19,Connecticut,19/09/2018,2018,TRUE,Windham,Hampton
10278-19,10278-19_S58_2019|2019-08-19,Connecticut,19/08/2019,2019,TRUE,Middlesex,Killingworth
12670-19,12670-19_S71_2019|2019-09-05,Connecticut,05/09/2019,2019,TRUE,New_London,Ledyard
15347-19,15347-19_S82_2019|2019-10-10,Connecticut,10/10/2019,2019,TRUE,New_London,Ledyard
19350-18,19350-18_S53_2018|2018-10-09,Connecticut,09/10/2018,2018,TRUE,New_London,Ledyard
11716-19,11716-19_S66_2019|2019-08-28,Connecticut,28/08/2019,2019,TRUE,New_Haven,Madison
15191-19,15191-19_S81_2019|2019-10-07,Connecticut,07/10/2019,2019,TRUE,New_Haven,Madison
9180-19,9180-19_S55_2019|2019-08-08,Connecticut,08/08/2019,2019,TRUE,New_Haven,Madison
15435-19,15435-19_S83_2019|2019-10-17,Connecticut,17/10/2019,2019,TRUE,Fairfield,Monroe
10838-19,10838-19_S61_2019|2019-08-21,Connecticut,21/08/2019,2019,TRUE,New_London,North_Stonington
13289-19,13289-19_S72_2019|2019-09-11,Connecticut,11/09/2019,2019,TRUE,New_London,North_Stonington
18341-18,18341-18_S51_2018|2018-09-26,Connecticut,26/09/2018,2018,TRUE,New_London,North_Stonington
14275-19,14275-19_S74_2019|2019-09-23,Connecticut,23/09/2019,2019,TRUE,New_London,Old_Lyme
11548-19,11548-19_S65_2019|2019-08-27,Connecticut,27/08/2019,2019,TRUE,Windham,Plainfield
18694-18,18694-18_S52_2018|2018-10-01,Connecticut,01/10/2018,2018,TRUE,Windham,Plainfield
11309-19,11309-19_S63_2019|2019-08-26,Connecticut,26/08/2019,2019,TRUE,Fairfield,Shelton
13866-19,13866-19_S73_2019|2019-09-17,Connecticut,17/09/2019,2019,TRUE,Hartford,South_Windsor
14311-19,14311-19_S78_2019|2019-09-23,Connecticut,23/09/2019,2019,TRUE,Fairfield,Stamford
10579-19,10579-19_S60_2019|2019-08-20,Connecticut,20/08/2019,2019,TRUE,New_London,Stonington
12388-19,12388-19_S69_2019|2019-09-03,Connecticut,03/09/2019,2019,TRUE,New_London,Stonington
19VX2817,19VX2817_S42_2019|2019-08-28,Connecticut,28/08/2019,2019,TRUE,Tolland,Tolland
8117-19,8117-19_S54_2019|2019-07-31,Connecticut,31/07/2019,2019,TRUE,New_London,Voluntown
10898-19,10898-19_S62_2019|2019-08-21,Connecticut,21/08/2019,2019,TRUE,New_London,Voluntown
11854-19,11854-19_S67_2019|2019-08-28,Connecticut,28/08/2019,2019,TRUE,New_London,Voluntown
12606-19,12606-19_S70_2019|2019-09-04,Connecticut,04/09/2019,2019,TRUE,New_London,Voluntown
11357-16,11357-16_S45_2016|2016-09-12,Connecticut,12/09/2016,2016,TRUE,New_London,Voluntown
13966-17,13966-17_S46_2017|2017-10-05,Connecticut,05/10/2017,2017,TRUE,New_London,Voluntown
KJ469575.1,KJ469575_1996|1996,Connecticut,,1996,FALSE,,
KJ469563.1,KJ469563_1996|1996,Connecticut,,1996,FALSE,,
KJ469612.1,KJ469612_1998|1998,Connecticut,,1998,FALSE,,
KJ469608.1,KJ469608_1998|1998,Connecticut,,1998,FALSE,,
KJ469633.1,KJ469633_2000|2000,Connecticut,,2000,FALSE,,
KJ469570.1,KJ469570_2001|2001,Connecticut,,2001,FALSE,,
KJ469613.1,KJ469613_2003|2003,Connecticut,,2003,FALSE,,
KJ469606.1,KJ469606_2004|2004,Connecticut,,2004,FALSE,,
KJ469584.1,KJ469584_2004|2004,Connecticut,,2004,FALSE,,
KJ469628.1,KJ469628_2001|2001,Connecticut,,2001,FALSE,,
KJ469642.1,KJ469642_2003|2003,Connecticut,,2003,FALSE,,
KJ469582.1,KJ469582_2003|2003,Connecticut,,2003,FALSE,,
KJ469583.1,KJ469583_1934|1934,Delaware,,1934,FALSE,,
KJ469638.1,KJ469638_1989|1989,Delaware,,1989,FALSE,,
KJ469599.1,KJ469599_1960|1960,Florida,,1960,FALSE,,
KU840369.1,KU840369_1986|1986-01-02,Florida,02/01/1986,1986,FALSE,Jefferson_County,
KU840378.1,KU840378_1994|1994-04-06,Florida,06/04/1994,1994,FALSE,Volusia_County,
EF151502.1,EF151502_1993|1993,Florida,,1993,FALSE,,
U01034.1,U01034_1982|1982,Florida,,1982,FALSE,,
KU840335.1,KU840335_2002|2002-12-18,Florida,18/12/2002,2002,FALSE,Escambia_County,
KJ469571.1,KJ469571_2003|2003,Florida,,2003,FALSE,,
KU840320.1,KU840320_2003|2003-07-28,Florida,28/07/2003,2003,FALSE,Santa_Rosa_County,
KU840297.1,KU840297_2008|2008-06-25,Florida,25/06/2008,2008,FALSE,Washington_County,
KU840360.1,KU840360_2010|2010-07-22,Florida,22/07/2010,2010,FALSE,Washington_County,
KU840294.1,KU840294_2010|2010-06-14,Florida,14/06/2010,2010,FALSE,Okeechobee_County,
KJ469627.1,KJ469627_2003|2003,Florida,,2003,FALSE,,
KU840347.1,KU840347_2009|2009-03-16,Florida,16/03/2009,2009,FALSE,Lake_County,
KU840328.1,KU840328_2005|2005-06-06,Florida,06/06/2005,2005,FALSE,Alachua_County,
KU840319.1,KU840319_2003|2003-06-02,Florida,02/06/2003,2003,FALSE,Hernando_County,
KU840306.1,KU840306_2003|2003-05-26,Florida,26/05/2003,2003,FALSE,Clay_County,
KU840361.1,KU840361_2010|2010-05-09,Florida,09/05/2010,2010,FALSE,Marion_County,
KU840323.1,KU840323_2014|2014-06-23,Florida,23/06/2014,2014,FALSE,Levy_County,
KU840357.1,KU840357_2010|2010-07-11,Florida,11/07/2010,2010,FALSE,Lake_County,
KU840344.1,KU840344_2008|2008-07-21,Florida,21/07/2008,2008,FALSE,Suwannee_County,
KU840371.1,KU840371_2003|2003-06-18,Florida,18/06/2003,2003,FALSE,Nassau_County,
KU840337.1,KU840337_2001|2001-12-23,Florida,23/12/2001,2001,FALSE,Bay_County,
KU840330.1,KU840330_2003|2003-04-25,Florida,25/04/2003,2003,FALSE,Columbia_County,
HM210098.1,HM210098_2003|2003-04-02,Florida,02/04/2003,2003,FALSE,,
KU840365.1,KU840365_1992|1992-06-10,Florida,10/06/1992,1992,FALSE,Volusia_County,
HM210093.1,HM210093_1992|1992-06-10,Florida,10/06/1992,1992,FALSE,,
