node_number,node_height,tips
ARB19MS510595_S24_2019|2019-07-31,0.21369863013705984,ARB19MS510595_S24_2019|2019-07-31
65,5.0495010506968905,ARB15MS330238_S4_2015|2015-06-25;ARB15MS260105_S5_2015|2015-07-06;ARB15MS260353_S12_2015|2015-09-23;ARB15MS260175_S6_2015|2015-07-28
SL19-1584_S34_2019|2019-08-29,0.13424657534255655,SL19-1584_S34_2019|2019-08-29
78,0.6641384026294223,10898-19_S62_2019|2019-08-21;11854-19_S67_2019|2019-08-28;11548-19_S65_2019|2019-08-27
80,1.1517544392392505,13289-19_S72_2019|2019-09-11;15347-19_S82_2019|2019-10-10;12606-19_S70_2019|2019-09-04;8117-19_S54_2019|2019-07-31;10838-19_S61_2019|2019-08-21;10579-19_S60_2019|2019-08-20;12388-19_S69_2019|2019-09-03
104,1.468502648900456,11403-19_S64_2019|2019-08-27;15191-19_S81_2019|2019-10-07;10529-19_S59_2019|2019-08-20;14149-19_S76_2019|2019-09-23;11716-19_S66_2019|2019-08-28;10278-19_S58_2019|2019-08-19
15435-19_S83_2019|2019-10-17,0.0,15435-19_S83_2019|2019-10-17
128,0.22969929824337093,14311-19_S78_2019|2019-09-23;14117-19_S75_2019|2019-09-23
14229-17_S49_2017|2017-10-25,1.9780821917811222,14229-17_S49_2017|2017-10-25
12670-19_S71_2019|2019-09-05,0.11506849315082945,12670-19_S71_2019|2019-09-05
11357-16_S45_2016|2016-09-12,3.095059510443595,11357-16_S45_2016|2016-09-12
154,1.3494687308192232,CC19-0533_S36_2019|2019-09-10;SL19-1332_S31_2019|2019-08-13;SL19-1319_S32_2019|2019-08-13;SL19-0643_S40_2019|2019-07-22;CC19-0548_S37_2019|2019-09-12;SL19-0635_S29_2019|2019-07-22
RAB19ANI05450_S3_2019|2019-08-27,0.13972602739727005,RAB19ANI05450_S3_2019|2019-08-27
160,0.34344875298419997,14661-19_S79_2019|2019-09-26;10084-19_S56_2019|2019-08-15
162,1.9711518415840905,13866-19_S73_2019|2019-09-17;18VX3174_S43_2018|2018-11-01;18VX2715_S44_2018|2018-09-19;SL18-1204_S28_2018|2018-09-26
ARB15MS330683_S8_2015|2015-09-01,4.126027397259192,ARB15MS330683_S8_2015|2015-09-01
174,3.840540174021397,16370365_S13_2016|2016-08-17;RAB19ANI04511_S25_2019|2019-08-13;ARB18MS330453_S21_2018|2018-08-07;ARB18MS330394_S19_2018|2018-07-31;ARB17MS330746_S18_2017|2017-09-26;ARB18MS370301_S20_2018|2018-07-30;ARB17MS370250_S26_2017|2017-07-26;ARB17MS260236_S17_2017|2017-09-19
RAB16ANI05362-01-00_S14_2016|2016-08-23,3.1497043191850733,RAB16ANI05362-01-00_S14_2016|2016-08-23
334,1.0414484493031222,ARB19MS330484_S3_2019|2019-08-15;ARB19MS370212_S23_2019|2019-07-08
